EVENT_DATE_YEAR,NO_OF_RUNS,SPECIES_NAME,LATIN_NAME,ALL_RUNS,EVENT_DATE,Average_count
2012,1,Bleak,Alburnus alburnus,3,23/02/2012,3
2012,1,Bullhead,Cottus gobio,15,23/02/2012,15
2012,1,Chub,Leuciscus cephalus,10,23/02/2012,10
2012,1,Common bream,Abramis brama,22,23/02/2012,22
2012,1,Perch,Perca fluviatilis,168,23/02/2012,168
2012,1,Pike,Esox lucius,5,23/02/2012,5
2012,1,Roach,Rutilus rutilus,3249,23/02/2012,3249
2012,1,Tench,Tinca tinca,19,23/02/2012,19
2012,1,Silver bream,Abramis bjoerkna,50,23/02/2012,50
2012,1,Spined loach,Cobitis taenia,14,23/02/2012,14
2012,1,Gudgeon,Gobio gobio,6,23/02/2012,6
2012,1,Roach x common bream hybrid,Rutilus rutilus x Abramis brama,4,23/02/2012,4
2012,1,Ruffe,Gymnocephalus cernuus,55,23/02/2012,55
2013,2,Bullhead,Cottus gobio,6,30/05/2013,3
2013,2,Perch,Perca fluviatilis,5,30/05/2013,3
2013,2,Pike,Esox lucius,7,30/05/2013,4
2013,2,Roach,Rutilus rutilus,1,30/05/2013,1
2013,2,3-spined stickleback,Gasterosteus aculeatus,5,30/05/2013,3
2013,2,Bullhead,Cottus gobio,30,11/06/2013,15
2013,2,Minnow,Phoxinus phoxinus,43,11/06/2013,22
2013,2,Stone loach,Barbatula barbatula,3,11/06/2013,2
2013,2,3-spined stickleback,Gasterosteus aculeatus,5,11/06/2013,3
2019,2,Stone loach,Barbatula barbatula,1,05/04/2019,1
2019,2,Minnow,Phoxinus phoxinus,33,05/04/2019,17
2019,2,Bullhead,Cottus gobio,12,05/04/2019,6
2014,2,Bullhead,Cottus gobio,2,05/06/2014,1
2014,2,Gudgeon,Gobio gobio,1,05/06/2014,1
2014,2,Perch,Perca fluviatilis,67,05/06/2014,34
2014,2,Pike,Esox lucius,20,05/06/2014,10
2014,2,Roach,Rutilus rutilus,46,05/06/2014,23
2014,2,Spined loach,Cobitis taenia,2,05/06/2014,1
2014,2,Tench,Tinca tinca,2,05/06/2014,1
2014,2,European eels > elvers,Anguilla anguilla,19,05/06/2014,10
2014,2,Roach,Rutilus rutilus,78,03/06/2014,39
2014,2,Perch,Perca fluviatilis,8,03/06/2014,4
2014,2,Common bream,Abramis brama,2,03/06/2014,1
2014,2,Spined loach,Cobitis taenia,1,03/06/2014,1
2014,2,Pike,Esox lucius,4,03/06/2014,2
2014,2,European eels > elvers,Anguilla anguilla,12,03/06/2014,6
2014,2,Bitterling,Rhodeus sericeus,1,03/06/2014,1
2014,2,Gudgeon,Gobio gobio,1,11/06/2014,1
2014,2,Roach,Rutilus rutilus,138,11/06/2014,69
2014,2,Perch,Perca fluviatilis,13,11/06/2014,7
2014,2,Bleak,Alburnus alburnus,3,11/06/2014,2
2014,2,Common bream,Abramis brama,25,11/06/2014,13
2014,2,Bitterling,Rhodeus sericeus,53,11/06/2014,27
2014,2,European eels > elvers,Anguilla anguilla,3,11/06/2014,2
2014,2,Silver bream,Abramis bjoerkna,2,11/06/2014,1
2014,2,Rudd,Scardinius erythrophthalmus,6,11/06/2014,3
2014,2,Dace,Leuciscus leuciscus,1,11/06/2014,1
2014,2,Ruffe,Gymnocephalus cernuus,1,11/06/2014,1
2014,2,Pike,Esox lucius,2,11/06/2014,1
2014,2,Roach x common bream hybrid,Rutilus rutilus x Abramis brama,1,11/06/2014,1
2013,2,Bleak,Alburnus alburnus,273,30/08/2013,137
2013,2,Common bream,Abramis brama,4,30/08/2013,2
2013,2,Dace,Leuciscus leuciscus,11,30/08/2013,6
2013,2,Gudgeon,Gobio gobio,16,30/08/2013,8
2013,2,Perch,Perca fluviatilis,31,30/08/2013,16
2013,2,Roach,Rutilus rutilus,194,30/08/2013,97
2013,2,Pike,Esox lucius,3,30/08/2013,2
2016,2,Roach,Rutilus rutilus,651,17/08/2016,326
2016,2,Pike,Esox lucius,3,17/08/2016,2
2016,2,Common bream,Abramis brama,2,17/08/2016,1
2016,2,Silver bream,Abramis bjoerkna,1,17/08/2016,1
2016,2,Gudgeon,Gobio gobio,1,17/08/2016,1
2016,2,Perch,Perca fluviatilis,37,17/08/2016,19
2016,2,Bleak,Alburnus alburnus,41,17/08/2016,21
2016,2,Dace,Leuciscus leuciscus,28,17/08/2016,14
2016,2,Rudd,Scardinius erythrophthalmus,1,17/08/2016,1
2019,2,Roach,Rutilus rutilus,599,15/10/2019,300
2019,2,Perch,Perca fluviatilis,478,15/10/2019,239
2019,2,Dace,Leuciscus leuciscus,4,15/10/2019,2
2019,2,Common bream,Abramis brama,4,15/10/2019,2
